"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 28, 2019","22,300","22,140","22,470","22,080","9.03K","0.50%"
"Apr 21, 2019","22,190","22,180","22,260","21,900","17.39K","0.18%"
"Apr 14, 2019","22,150","22,320","22,430","22,030","11.24K","-0.49%"
"Apr 07, 2019","22,260","22,420","22,540","21,890","22.61K","-0.36%"
"Mar 31, 2019","22,340","21,520","22,370","21,520","21.90K","6.08%"
"Mar 24, 2019","21,060","21,420","21,480","20,890","10.29K","-1.40%"
"Mar 17, 2019","21,360","21,210","21,500","21,130","14.52K","0.90%"
"Mar 10, 2019","21,170","20,710","21,250","20,710","20.38K","2.22%"
"Mar 03, 2019","20,710","20,720","21,300","20,680","12.55K","0.44%"
"Feb 24, 2019","20,620","20,230","20,650","20,050","7.45K","2.18%"
"Feb 17, 2019","20,180","20,260","20,600","19,970","15.54K","0.25%"
"Feb 10, 2019","20,130","20,540","20,740","20,070","11.72K","-2.19%"
"Feb 03, 2019","20,580","20,860","20,860","20,500","9.04K","-1.53%"
"Jan 27, 2019","20,900","20,600","20,960","20,480","4.71K","1.46%"
"Jan 20, 2019","20,600","20,940","21,000","20,530","11.74K","-1.53%"
"Jan 13, 2019","20,920","20,680","21,030","20,510","9.48K","1.16%"
"Jan 06, 2019","20,680","21,200","21,280","20,650","9.27K","-1.85%"
"Dec 30, 2018","21,070","20,750","21,150","20,740","6.33K","1.84%"
"Dec 23, 2018","20,690","20,880","20,910","20,300","6.54K","-0.39%"
"Dec 16, 2018","20,770","21,880","21,990","20,740","11.64K","-5.12%"
"Dec 09, 2018","21,890","21,950","22,300","21,750","10.45K","-0.09%"
"Dec 02, 2018","21,910","21,560","22,080","21,560","10.42K","2.91%"
"Nov 25, 2018","21,290","21,600","21,720","21,200","3.25K","-2.11%"
"Nov 18, 2018","21,750","22,380","22,420","21,730","5.61K","-2.86%"
"Nov 11, 2018","22,390","22,420","22,610","22,260","6.78K","0.36%"
"Nov 04, 2018","22,310","22,370","22,540","22,190","5.14K","-0.27%"
"Oct 28, 2018","22,370","23,160","23,190","21,920","5.07K","-3.33%"
"Oct 21, 2018","23,140","22,840","23,280","22,840","3.61K","1.58%"
"Oct 14, 2018","22,780","23,300","23,300","22,030","3.41K","-0.44%"
"Oct 07, 2018","22,880","22,300","22,960","22,220","4.54K","3.16%"
"Sep 30, 2018","22,180","21,800","22,260","21,690","3.46K","1.56%"
"Sep 23, 2018","21,840","22,420","22,550","21,770","3.90K","-2.11%"
"Sep 16, 2018","22,310","22,700","22,750","22,200","4.98K","-1.98%"
"Sep 09, 2018","22,760","23,040","23,240","22,700","4.68K","-0.78%"
"Sep 02, 2018","22,940","22,870","22,990","22,650","4.67K","0.35%"
"Aug 26, 2018","22,860","23,280","23,290","22,800","6.33K","-1.76%"
"Aug 19, 2018","23,270","23,400","23,590","23,190","4.77K","-0.13%"
"Aug 12, 2018","23,300","24,040","24,100","23,180","6.80K","-3.64%"
"Aug 05, 2018","24,180","23,850","24,280","23,700","5.09K","1.72%"
"Jul 29, 2018","23,770","22,240","24,200","22,050","5.05K","6.54%"
"Jul 22, 2018","22,310","22,200","22,430","21,970","5.22K","0.13%"
"Jul 15, 2018","22,280","22,960","22,970","22,130","7.03K","-2.71%"
"Jul 08, 2018","22,900","22,340","23,040","22,340","7.90K","1.60%"
"Jul 01, 2018","22,540","22,280","22,600","22,180","6.25K","2.78%"
"Jun 24, 2018","21,930","22,160","22,400","21,720","4.35K","-0.59%"
"Jun 17, 2018","22,060","22,730","22,770","21,770","10.69K","-3.75%"
"Jun 10, 2018","22,920","23,150","23,320","22,810","11.84K","-0.91%"
"Jun 03, 2018","23,130","22,460","23,150","21,930","11.52K","3.44%"
"May 27, 2018","22,360","21,190","22,560","21,060","6.21K","5.87%"
"May 20, 2018","21,120","21,020","21,200","20,680","9.18K","1.05%"
"May 13, 2018","20,900","20,630","20,940","20,350","9.95K","1.36%"
"May 06, 2018","20,620","20,900","21,040","20,600","5.56K","-0.63%"
"Apr 29, 2018","20,750","20,580","20,920","20,350","3.90K","0.88%"
"Apr 22, 2018","20,570","20,850","20,950","20,360","7.31K","-1.15%"
"Apr 15, 2018","20,810","20,840","20,980","20,500","8.74K","-0.29%"
"Apr 08, 2018","20,870","20,660","20,940","20,530","7.11K","1.21%"
"Apr 01, 2018","20,620","20,500","20,710","20,150","10.75K","2.13%"
"Mar 25, 2018","20,190","19,980","20,340","19,930","4.76K","0.95%"
