"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 27, 2014","1,428.00","1,393.00","1,432.00","1,391.00","4.87K","2.51%"
"Jul 20, 2014","1,393.00","1,395.00","1,398.50","1,387.00","0.32K","1.90%"
"Jul 13, 2014","1,367.00","1,372.00","1,377.00","1,356.00","10.64K","-0.51%"
"Jul 06, 2014","1,374.00","1,402.00","1,409.00","1,357.50","18.36K","-1.54%"
"Jun 29, 2014","1,395.50","1,415.00","1,425.00","1,381.00","6.85K","-0.14%"
"Jun 22, 2014","1,397.50","1,357.00","1,401.00","1,352.00","5.88K","5.31%"
"Jun 15, 2014","1,327.00","1,333.00","1,374.50","1,321.00","15.62K","-0.04%"
"Jun 08, 2014","1,327.50","1,301.00","1,341.50","1,290.00","13.97K","1.61%"
"Jun 01, 2014","1,306.50","1,321.00","1,331.00","1,300.00","6.31K","-1.66%"
"May 25, 2014","1,328.50","1,337.00","1,342.50","1,311.00","37.63K","-1.04%"
"May 18, 2014","1,342.50","1,327.50","1,352.00","1,295.00","8.00K","0.83%"
"May 11, 2014","1,331.50","1,327.00","1,351.00","1,302.00","12.71K","-0.19%"
"May 04, 2014","1,334.00","1,370.00","1,381.00","1,329.00","13.92K","-2.16%"
"Apr 27, 2014","1,363.50","1,391.00","1,402.50","1,355.50","10.62K","-1.62%"
"Apr 20, 2014","1,386.00","1,305.00","1,392.00","1,301.00","11.56K","7.03%"
"Apr 13, 2014","1,295.00","1,254.00","1,313.00","1,250.00","10.54K","4.60%"
"Apr 06, 2014","1,238.00","1,305.00","1,305.00","1,226.50","22.36K","-5.32%"
"Mar 30, 2014","1,307.50","1,353.50","1,353.50","1,300.00","6.08K","-3.51%"
"Mar 23, 2014","1,355.00","1,336.00","1,360.00","1,335.00","4.89K","1.50%"
"Mar 16, 2014","1,335.00","1,385.00","1,385.00","1,330.00","7.23K","-3.82%"
"Mar 09, 2014","1,388.00","1,397.00","1,408.00","1,377.50","2.46K","-1.00%"
"Mar 02, 2014","1,402.00","1,393.50","1,404.00","1,389.00","1.75K","0.39%"
"Feb 23, 2014","1,396.50","1,413.00","1,413.00","1,383.00","2.17K","-0.89%"
"Feb 16, 2014","1,409.00","1,379.00","1,417.50","1,367.00","2.90K","2.70%"
"Feb 09, 2014","1,372.00","1,371.50","1,381.00","1,365.50","0.73K","0.00%"
"Feb 02, 2014","1,372.00","1,366.00","1,390.00","1,365.00","1.52K","0.15%"
"Jan 26, 2014","1,370.00","1,390.50","1,395.00","1,354.50","3.13K","-1.30%"
"Jan 19, 2014","1,388.00","1,389.00","1,415.50","1,379.50","2.21K","0.29%"
"Jan 12, 2014","1,384.00","1,391.50","1,415.00","1,341.50","10.64K","-0.72%"
"Jan 05, 2014","1,394.00","1,397.50","1,406.00","1,345.00","7.54K","-0.21%"
"Dec 29, 2013","1,397.00","1,361.00","1,408.00","1,355.00","4.92K","2.57%"
"Dec 22, 2013","1,362.00","1,408.50","1,431.00","1,352.00","6.24K","-4.22%"
"Dec 15, 2013","1,422.00","1,467.00","1,478.00","1,418.00","9.41K","-3.27%"
"Dec 08, 2013","1,470.00","1,430.50","1,484.00","1,419.50","15.18K","2.94%"
"Dec 01, 2013","1,428.00","1,406.00","1,434.00","1,375.00","9.01K","1.96%"
"Nov 24, 2013","1,400.50","1,428.00","1,428.00","1,390.00","3.02K","-2.27%"
"Nov 17, 2013","1,433.00","1,384.50","1,440.50","1,367.50","7.32K","3.92%"
"Nov 10, 2013","1,379.00","1,320.00","1,404.00","1,319.50","13.79K","4.35%"
"Nov 03, 2013","1,321.50","1,325.00","1,340.00","1,311.00","7.20K","-0.41%"
"Oct 27, 2013","1,327.00","1,350.00","1,367.00","1,320.00","6.07K","-1.15%"
"Oct 20, 2013","1,342.50","1,307.00","1,363.50","1,307.00","6.55K","2.25%"
"Oct 13, 2013","1,313.00","1,273.00","1,314.00","1,262.00","7.98K","3.02%"
"Oct 06, 2013","1,274.50","1,273.50","1,280.00","1,255.00","17.18K","0.43%"
"Sep 29, 2013","1,269.00","1,287.00","1,314.50","1,257.50","10.10K","-1.44%"
"Sep 22, 2013","1,287.50","1,304.00","1,323.00","1,281.50","6.99K","-1.60%"
"Sep 15, 2013","1,308.50","1,274.00","1,313.00","1,273.50","12.66K","2.23%"
"Sep 08, 2013","1,280.00","1,336.00","1,342.00","1,270.50","25.27K","-4.33%"
"Sep 01, 2013","1,338.00","1,360.00","1,395.00","1,322.00","33.71K","-0.56%"
"Aug 25, 2013","1,345.50","1,294.00","1,351.00","1,281.50","27.99K","3.90%"
"Aug 18, 2013","1,295.00","1,285.00","1,327.50","1,246.00","13.71K","1.17%"
"Aug 11, 2013","1,280.00","1,248.00","1,292.00","1,230.00","24.61K","2.61%"
"Aug 04, 2013","1,247.50","1,259.50","1,275.00","1,236.50","28.28K","-0.99%"
"Jul 28, 2013","1,260.00","1,215.50","1,280.00","1,197.50","28.41K","3.45%"
"Jul 21, 2013","1,218.00","1,302.50","1,302.50","1,205.50","25.77K","-6.74%"
"Jul 14, 2013","1,306.00","1,284.00","1,334.00","1,281.00","35.44K","1.48%"
"Jul 07, 2013","1,287.00","1,343.00","1,343.00","1,263.00","49.41K","-4.06%"
"Jun 30, 2013","1,341.50","1,377.50","1,384.50","1,331.00","36.03K","-2.40%"
"Jun 23, 2013","1,374.50","1,417.00","1,433.00","1,366.50","35.91K","-3.41%"
"Jun 16, 2013","1,423.00","1,407.00","1,441.50","1,378.00","29.61K","1.21%"
"Jun 09, 2013","1,406.00","1,391.00","1,433.00","1,383.00","49.81K","0.50%"
"Jun 02, 2013","1,399.00","1,350.00","1,414.00","1,336.00","59.97K","3.74%"
"May 26, 2013","1,348.50","1,370.50","1,375.00","1,325.00","36.77K","-1.78%"
"May 19, 2013","1,373.00","1,353.00","1,391.50","1,345.00","12.56K","1.85%"
"May 12, 2013","1,348.00","1,355.00","1,369.00","1,338.00","24.38K","-0.66%"
"May 05, 2013","1,357.00","1,395.00","1,395.00","1,336.00","38.82K","-3.00%"
"Apr 28, 2013","1,399.00","1,398.00","1,409.50","1,345.00","35.37K","0.11%"
"Apr 21, 2013","1,397.50","1,372.00","1,410.00","1,365.00","28.57K","2.01%"
"Apr 14, 2013","1,370.00","1,366.00","1,386.50","1,315.50","35.37K","0.33%"
"Apr 07, 2013","1,365.50","1,390.00","1,390.00","1,336.00","42.10K","-1.90%"
